"","gene","LFC"
"198","Amillepora17058",-0.0891845614993199
"199","Amillepora17054",0.0771073799617357
"200","Amillepora17055",0.100832237537584
"201","Amillepora17050",0.115248980386765
"202","Amillepora17051",0.144891478120427
"203","Amillepora17060",-0.122404718578878
"204","Amillepora17064",0.702728941053201
"205","Amillepora17066",0.525373383862481
"206","Amillepora17061",0.0725241087587151
"207","Amillepora17065",0.24644730872758
"208","Amillepora17067",0.750958486371396
"209","Amillepora17072",-0.202507254236437
"210","Amillepora17070",-0.0986559065825457
"211","Amillepora17080",0.321566488321943
"212","Amillepora17077",0.0648211490069404
"213","Amillepora17079",0.14232256140927
"214","Amillepora17076",-0.199186348801979
"215","Amillepora17075",0.0219111627951918
"216","Amillepora17073",0.185811548162751
"217","Amillepora17084",0.0547922625245022
"218","Amillepora17088",-0.354772603222282
"219","Amillepora17087",0.0597378253950735
"220","Amillepora17086",0.270745828729189
"221","Amillepora17091",-0.100055275224863
"222","Amillepora17081",0.13550253513505
"223","Amillepora17089",0.125592269563798
"224","Amillepora17090",0.0203002458940529
"225","Amillepora17085",0.127933117457156
"226","Amillepora17101",-1.47028581754229
"227","Amillepora17095",-0.0583325228907348
"228","Amillepora17097",0.0189034623727782
"229","Amillepora17106",-0.148261644398642
"230","Amillepora17110",-0.0571060969928268
"231","Amillepora17105",0.291407829536605
"232","Amillepora17102",0.150361515008626
"233","Amillepora17107",-0.205093899854231
"234","Amillepora17109",-0.12176496570639
"235","Amillepora17117",0.248413365187673
"236","Amillepora17116",0.0605078193681573
"237","Amillepora17114",-0.27708395573508
"238","Amillepora17113",-0.0887577864156095
"239","Amillepora17111",-0.125882944484495
"240","Amillepora17112",-0.0598962637775835
"241","Amillepora17118",-0.143638662862361
"242","Amillepora17119",0.176105410753458
"243","Amillepora17131",-0.777473233895587
"244","Amillepora17139",-0.152996161280127
"245","Amillepora17136",0.261127645301244
"246","Amillepora17140",1.24840134102732
"247","Amillepora17146",0.065179327631595
"248","Amillepora17143",0.0680588878075008
"249","Amillepora17141",-0.113961718346304
"250","Amillepora17142",-0.376671845006781
"251","Amillepora17147",0.135049167172594
"252","Amillepora17156",-3.55054244123731
"253","Amillepora17153",0.13575620587123
"254","Amillepora17154",-0.656831861613973
"255","Amillepora17150",-0.110196179280136
"256","Amillepora17161",-0.933149557057966
"257","Amillepora17159",0.525123932096688
"258","Amillepora17187",0.717302472806539
"259","Amillepora17162",-0.155751369744939
"260","Amillepora17201",-0.359014799232989
"261","Amillepora17203",0.232449918386533
"262","Amillepora17204",-0.0314648967304166
"263","Amillepora17208",-0.789049426373387
"264","Amillepora17212",0.574406762509502
"265","Amillepora17218",-0.229667051449033
"266","Amillepora17222",0.26525536228479
"267","Amillepora17241",-0.380876855826138
"268","Amillepora17269",0.100417838929151
"269","Amillepora17270",0.0492789192018628
"270","Amillepora17278",0.300235714898933
"271","Amillepora17273",0.220539158062958
"272","Amillepora17315",0.0866612909813276
"273","Amillepora17317",-0.876671131153375
"274","Amillepora17319",-0.684956300562293
"275","Amillepora17314",0.947625324313818
"276","Amillepora17320",-0.548835468745969
"277","Amillepora17327",-0.308751975394978
